model,cv_r2_mean,cv_r2_std,cv_mae_mean,cv_mae_std,cv_rmse_mean,cv_rmse_std,elapsed_seconds
extra_trees,0.9592687524906879,0.0048226009873059954,1530.5839141101974,47.40120765199458,2324.5319895765847,89.11100060630501,4.248942900001566
catboost,0.961536909149723,0.0024959927731671955,1531.164464507862,30.436401459348044,2264.895245966123,109.85801468924818,10.977997300000425
random_forest,0.9572019919191567,0.004149201461671331,1531.8316900024624,34.274701461567474,2387.2259676169424,138.8253586274736,4.078105100001267
linear_regression,0.8853312342773897,0.015136219415014727,2561.397492163,97.82380395899891,3901.071433942092,263.39609103432656,0.1322626000001037
dummy_median,-0.05192802000789598,0.005967386850205119,8050.00917269831,139.335461641896,11851.092879780112,431.86399767474626,0.15410110000084387
