iter	RMSE
369	1975.49658
370	1973.698812
371	1971.747461
372	1970.228947
373	1969.27845
374	1968.067836
375	1965.435317
376	1964.120676
377	1962.452427
378	1960.427816
379	1959.233397
380	1958.519428
381	1957.517656
382	1957.063756
383	1956.486521
384	1953.989667
385	1953.532787
386	1952.037918
387	1951.533851
388	1950.415614
389	1949.301299
390	1948.659258
391	1948.156858
392	1947.088849
393	1945.337336
394	1943.841243
395	1942.331346
396	1941.975166
397	1941.05572
398	1940.169227
399	1939.334912
400	1938.677879
401	1938.198189
402	1937.655641
403	1936.576456
404	1935.155
405	1933.625287
406	1932.943443
407	1931.922848
408	1930.602274
409	1930.148645
410	1929.416996
411	1928.293817
412	1927.562643
413	1926.819425
414	1926.058081
415	1925.444787
416	1924.207657
417	1922.914663
418	1922.401208
419	1921.527298
420	1920.932143
421	1919.697436
422	1918.88903
423	1918.699659
424	1918.173948
425	1916.840344
426	1916.507355
427	1914.472836
428	1912.34857
429	1911.505355
430	1910.547437
431	1909.409188
432	1908.763969
433	1908.258574
434	1907.421415
435	1905.966135
436	1905.421736
437	1905.100508
438	1904.150594
439	1903.583483
440	1903.390054
441	1902.801963
442	1901.599743
443	1900.715152
444	1899.295101
445	1897.606421
446	1896.843623
447	1896.162945
448	1895.108123
449	1894.27863
450	1893.890094
451	1892.598411
452	1891.542383
453	1890.852323
454	1889.78663
455	1889.246052
456	1887.909348
457	1886.651528
458	1886.16472
459	1885.746622
460	1884.360449
461	1883.729678
462	1883.146691
463	1882.683075
464	1882.393137
465	1881.034164
466	1880.340858
467	1879.290468
468	1878.862438
469	1877.666989
470	1877.127113
471	1875.767844
472	1875.677817
473	1874.9406
474	1874.405674
475	1873.780686
476	1873.310688
477	1872.920605
478	1872.165274
479	1871.624212
480	1870.908863
481	1869.434564
482	1868.691197
483	1868.231947
484	1866.993373
485	1866.729541
486	1866.174248
487	1864.923238
488	1863.403796
489	1861.408898
490	1860.107714
491	1858.462742
492	1857.858573
493	1857.172882
494	1855.984004
495	1855.043642
496	1853.946463
497	1853.243624
498	1852.599847
499	1852.21936
